BFS
226 244 109
26 131 73
40 229 6
2833066
0 83 14 1
0 83 15 1 12
0 83 32 3 12
0 84 32 3 4
0 84 33 3 7
0 85 32 4 15
0 85 33 4 16
0 86 32 7 17
0 86 33 16 18
0 87 24 5 7
0 87 25 6 15
0 87 28 5 12
0 87 29 5 6
0 87 30 6 8
0 87 32 1 17
0 88 21 3 15
0 88 23 7
0 88 26 7 18
0 88 31 1 15
0 89 10 1 7
0 89 21 1 4
0 89 22 3 18
0 89 25 1 11
0 89 26 3 11
0 89 27 1 12
0 89 32 15 18
0 90 10 3 16
0 90 22 4 5
0 90 23 6 16
0 90 24 3 8
0 90 25 3 16
0 90 26 4 5
0 90 27 6
0 90 33 11 18
0 91 9 12 17
0 91 10 4 8
0 91 19 1 3
0 91 21 1 16
0 91 22 7 17
0 91 23 15 16
0 91 24 4 17
0 91 25 1 4
0 91 26 7 8
0 92 1 7 11
0 92 2 5 8
0 92 3 6 7
0 92 19 4 7
0 92 20 15 17
0 92 22 12 17
0 92 24 5 18
0 92 25 5 6 11 16
0 92 26 3 6
0 92 27 3 5
0 92 28 3 6
0 93 0 7 15
0 93 4 8 11
0 93 11 15
0 93 21 16 18
0 93 22 11 12
0 93 23 7 15
0 93 24 16 17
0 93 25 1 8
0 93 26 4 16
0 93 27 4 7
0 93 28 4 16
0 93 29 11 16
0 94 1 3 18
0 94 12 8 18
0 94 20 16 17
0 94 21 5
0 94 22 5 6
0 94 23 3 6 17
0 94 24 15 18
0 94 25 5 17
0 94 26 6 11
0 94 27 16 17
0 94 28 5 17
0 94 29 6 16
0 95 1 4 5
0 95 2 1 6
0 95 9 5 11
0 95 10 6 7
0 95 11 5 8
0 95 12 6 12
0 95 19 17
0 95 21 7 15
0 95 22 3 15
0 95 23 4 11
0 95 24 1 12
0 95 25 1 18
0 95 26 15 17
0 95 28 11 17
0 95 29 3 11
0 95 30 7 16
0 96 0 5 11
0 96 1 6 12
0 96 6 5 16
0 96 7 6 11
0 96 11 1 12
0 96 13 8 11
0 96 19 7 11
0 96 22 4 18
0 96 23 15 18
0 96 24 12 15
0 96 25 3 16
0 96 27 18
0 96 29 4 17
0 97 0 3 15
0 97 2 12 15
0 97 3 1 16
0 97 4 7
0 97 5 7 17
0 97 20 1 11
0 97 23 8 16
0 97 24 17 18
0 97 25 4 18
0 97 26 7 8
0 97 27 8 15
0 97 28 1
0 97 33 3 5
0 97 34 6 15
